enrollment_id,course_name,enrollment_year,final_grade,hours_studied,completion_status
ENR-906647,Intro to Analytics,2025,B,32.58,Completed
ENR-777542,Intro to Analytics,2024,C,30.73,Completed
ENR-637659,SQL Basics,2023,F,19.76,Completed
ENR-555487,Intro to Analytics,2023,D,31.54,Completed
ENR-818103,Tableau Fundamentals,2023,B,32.35,Completed
ENR-664678,SQL Basics,2024,C,35.07,Completed
ENR-769361,SQL Basics,2024,C,30.22,Completed
ENR-935156,Intro to Analytics,2024,F,31.53,In Progress
ENR-799041,SQL Basics,2022,B,23.97,Completed
ENR-725480,SQL Basics,2022,C,27.8,Completed
ENR-973999,Intro to Analytics,2023,B,30.41,Completed
ENR-609751,Intro to Analytics,2025,C,33.5,Dropped
ENR-645898,SQL Basics,2025,A,32.85,Completed
ENR-800941,Python for Beginners,2025,B,30.85,Completed
ENR-539873,SQL Basics,2023,B,38.96,Completed
ENR-492714,SQL Basics,2025,B,30.46,Completed
ENR-634843,Python for Beginners,2023,A,27.62,Completed
ENR-133388,Statistics 101,2024,A,33.62,Completed
ENR-988502,Tableau Fundamentals,2026,F,35.38,In Progress
ENR-890807,Python for Beginners,2023,C,28.72,Completed
ENR-776804,Intro to Analytics,2022,B,30.69,Completed
ENR-290279,Python for Beginners,2023,D,30.05,Completed
ENR-861085,Python for Beginners,2026,B,26.99,Completed
ENR-960031,SQL Basics,2024,C,26.08,In Progress
ENR-186622,Statistics 101,2022,A,29.32,In Progress
ENR-610557,Python for Beginners,2023,B,33.11,Completed
ENR-790040,SQL Basics,2024,B,29.33,Completed
ENR-374608,SQL Basics,2026,C,28.32,Completed
ENR-278390,SQL Basics,2026,B,31.18,Completed
ENR-451168,Intro to Analytics,2026,C,30.62,Completed
ENR-453282,Python for Beginners,2025,B,26.11,Completed
ENR-681124,Intro to Analytics,2025,A,24.24,In Progress
ENR-510195,Python for Beginners,2023,D,35.24,Completed
